postcode,dist_km
G77 5GQ,0.0
G77 6XG,0.08960928867391782
G77 5GR,0.10222188591288468
G77 5UX,0.12383419564164469
G77 5GY,0.14436694021781252
G77 5GX,0.14702150709820902
G77 5GS,0.20702308323903493
G77 6RT,0.26449537368525977
G77 6YL,0.278484355999911
G77 5GZ,0.2824952856068625
G77 5UW,0.2977591927104381
G77 5GT,0.3369957262629881
G77 5UZ,0.3380233120472603
G77 5WU,0.3477075963510979
G77 5WT,0.3488277421322254
G77 5XQ,0.35199968097960643
G77 5WX,0.3535103841083672
G77 5UY,0.3552983897395678
G77 5XD,0.39140296509922856
G77 6RU,0.39437489133950787
G77 5GW,0.416338981375051
G77 5XA,0.4412802019361477
G77 5XB,0.47917593059774266
G77 5XN,0.4928573062818178
G77 6UB,0.49730234333771756
G77 6GY,0.51954797389351
G77 5XG,0.5219745742242878
G77 6GH,0.5463563292420421
G77 6GA,0.5663430234152327
G77 6WJ,0.5698508424996369
G77 6WX,0.609366958541564
G77 5XE,0.6124558442244973
G77 6GE,0.6252754156102597
G77 5XH,0.6267980147976253
G77 5XL,0.630933546369744
G77 6XA,0.6482655409400012
G77 6FZ,0.6513174037895639
G77 6BF,0.6538005521757819
G77 6XP,0.6907052203541283
G77 6ZN,0.7184591302518408
G77 6YZ,0.74675304220433
G77 5XJ,0.7504354931435802
G77 6PR,0.755140033868873
G77 5XP,0.7588963394589283
G77 6GX,0.7670891089206712
G77 6GB,0.7720059374792348
G77 6FF,0.8001171429613845
G77 5AS,0.8279038843759939
G77 5AR,0.862966135832029
G77 6NU,0.8669208206285355
G77 5AU,0.8679869173599247
G77 6DP,0.8700073557348479
G77 5AT,0.8728981458891917
G77 5FP,0.8818098188417404
G77 5FN,0.8880569141326171
G77 6FH,0.889277887411727
G77 6PS,0.8933555038950005
G77 6AP,0.8957281318950138
G77 6TX,0.9027142575124822
G77 6FE,0.9074961016388355
G77 6FJ,0.9161781572129603
G77 6AN,0.91761844465745
G77 6AW,0.9292806130498374
G77 6FB,0.9310095480664426
G77 5FL,0.934111116146092
G77 6BY,0.939127500912889
G77 5AX,0.9503605696077483
G77 6UU,0.9655530849129335
G77 6BX,0.967638566135813
G77 5AP,0.9766259956758618
G77 5FJ,0.9997150517284321
G77 6RS,1.0107188948933954
G77 5QL,1.0113086734085515
G77 6AJ,1.0138950901282322
G77 6GG,1.0245355089918227
G77 5FR,1.0279201356054626
G77 6AL,1.0291513251061195
G77 5TN,1.0437549283001788
G77 6BT,1.046472308003435
G77 5FF,1.054284742074163
G77 6BU,1.0576791938229027
G77 6BZ,1.061453772513006
G77 5AN,1.0627199583095495
G77 6GL,1.070378113623495
G77 5TY,1.07420631510806
G77 5TR,1.0745093381417243
G77 5TP,1.07595141926165
G77 5FE,1.0782653556580142
G77 6BP,1.0794520287257476
G77 6RR,1.0853357567471082
G77 6DB,1.0860913922245163
G77 5FH,1.0879290826181143
G77 5FT,1.08912102308395
G77 6DF,1.0923145043025198
G77 6ZZ,1.097694965497917
G77 6FD,1.0986232584379434
G77 6BW,1.0992304230386898
G77 6DD,1.106922362568419
G77 5AW,1.1141677154810297
G77 6YS,1.1258688155630916
G77 5TD,1.1323991463640393
G77 6DA,1.135598426129561
G77 6ZX,1.1433983970279928
G77 6DL,1.1491587711267375
G77 6DE,1.1556813915629955
G77 5AL,1.162007997898085
G77 6DG,1.16550184254216
G77 6BN,1.170952587822907
G77 6GN,1.1718449527956327
G77 6BS,1.1740471077244112
G77 5TT,1.1766606226662681
G77 6DJ,1.1793930758565399
G77 6AH,1.1846861577461072
G77 5QJ,1.186488345960795
G77 6BL,1.1876776022449882
G77 6YU,1.192070102079
G77 6ZY,1.1980016392619088
G77 5FX,1.2023404741481614
G77 5AA,1.2082146256213426
G77 5GD,1.2109967622678441
G77 5FU,1.214407605844729
G77 6YT,1.215902453159142
G77 6WR,1.2316933299946125
G77 6UP,1.2319597458848934
G77 6DQ,1.24138013559228
G77 6BJ,1.2446560141820424
G77 5AJ,1.2470617463003506
G77 5AB,1.2554579900669571
G77 5FA,1.2607219087644876
G77 6YJ,1.2613163448479217
G77 5FW,1.2660992501432575
G77 5GA,1.2684808196868007
G77 6BQ,1.2689866671441774
G77 5GF,1.2721894585900066
G77 6UR,1.2737042683809037
G77 6DH,1.2745969750974098
G77 6AQ,1.2775730048967369
G77 6BG,1.2836158525965995
G77 5AD,1.2886789677898056
G77 6ZU,1.2924753539141218
G77 6UZ,1.2938770032903928
G77 6BH,1.2996120326427378
G77 6WU,1.3009300812256253
G77 6ZS,1.3046827659916003
G77 5FY,1.308474629446308
G77 5GJ,1.3108641867040387
G77 6WS,1.3146375145025422
G77 6WE,1.3193420087423688
G77 5AF,1.3247895771316156
G77 6YH,1.3248442168572867
G77 6BE,1.3289251485802083
G77 5FZ,1.3291535047677423
G77 5GB,1.3293539302024775
G77 6ZT,1.3344775101905704
G77 6AG,1.3371392898125998
G77 6PP,1.3375919035427015
G77 6GT,1.3377038073829055
G77 5TS,1.3380001834838045
G77 5GG,1.3428470676782465
G77 5FB,1.3434177585891336
G77 6GU,1.353387068693199
G77 6PT,1.3604886730254395
G77 6WP,1.380584737476993
G77 5AH,1.3807042150793267
G77 6WW,1.3876884114398096
G77 5GE,1.3975694283694187
G77 6YB,1.3991683374962358
G77 6BB,1.408189640541004
G77 6WT,1.4099155596573059
G77 5AG,1.4272522751609038
G77 5AE,1.4294556863833665
G77 5FD,1.4331125776854297
G77 5FS,1.4334862815284781
G77 6YP,1.434994508599784
G77 6BD,1.4371877768308279
G77 6AE,1.440089726366874
G77 6YD,1.440510048006161
G77 5BG,1.4560025887616657
G77 6TL,1.4721131408376071
G77 6XN,1.4724803820044239
G77 6RP,1.4776019789323647
G77 5AQ,1.4788042947119617
G77 5BX,1.481985556717128
G77 6YA,1.488167056614173
G77 6YQ,1.488209594225701
G77 6YE,1.4977738503417952
G77 6JT,1.4984812787200794
